{-1.28205, -0.769231, 1.38462, -1, 2}
{-1.17949, -0.769231, 1.58974, -1, 1.79487}
{-1.17949, -0.769231, 1.69231, -1, 2}
{-1.07692, -0.769231, 2, -1, 0.564103}
{-0.974359, -0.666667, 1.69231, -1, 1.69231}
{-0.871795, -0.666667, 1.48718, -1, 1.69231}
{-0.871795, -0.666667, 1.58974, -1, 1.17949}
{-0.769231, -0.666667, 1.79487, -1, 0.358974}
{-0.769231, -0.564103, 1.28205, -1, 1.79487}
{-0.769231, -0.564103, 1.48718, -1, 1.89744}
{-0.769231, -0.564103, 1.58974, -1, 1.17949}
{-0.769231, -0.564103, 1.79487, -1, 1.28205}
{-0.666667, -0.564103, 1.17949, -1, 0.974359}
{-0.666667, -0.564103, 1.38462, -1, 0.153846}
{-0.666667, -0.564103, 1.69231, -1, 0.564103}
{-0.666667, -0.564103, 1.69231, -1, 0.666667}
{-0.666667, -0.564103, 1.79487, -1, 0.358974}
{-0.666667, -0.564103, 2, -1, 0.153846}
{-0.666667, -0.564103, 2, -1, 0.358974}
{-0.666667, -0.564103, 2, -1, 0.564103}
{-0.666667, -0.564103, 2, -1, 0.974359}
{-0.666667, -0.461538, 1.69231, -1, 1.48718}
{-0.564103, -0.461538, 0.871795, -1, 1.79487}
{-0.564103, -0.461538, 1.07692, -1, 2}
{-0.564103, -0.461538, 1.28205, -1, 2}
{-0.564103, -0.461538, 1.38462, -1, 1.07692}
{-0.564103, -0.461538, 1.48718, -1, 1.17949}
{-0.564103, -0.461538, 1.58974, -1, 0.461538}
{-0.564103, -0.461538, 1.58974, -1, 1.17949}
{-0.564103, -0.461538, 1.58974, -1, 2}
{-0.564103, -0.461538, 1.79487, -1, 1.28205}
{-0.564103, -0.461538, 2, -1, 1.69231}
{-0.564103, -0.461538, 2, -1, 2}
{-0.461538, -0.461538, 0.974359, -1, 0.461538}
{-0.461538, -0.461538, 1.07692, -1, 0.25641}
{-0.461538, -0.461538, 1.17949, -1, 1.48718}
{-0.461538, -0.461538, 1.38462, -1, 0.564103}
{-0.461538, -0.461538, 1.79487, -1, 0.974359}
{-0.461538, -0.461538, 1.79487, -1, 1.07692}
{-0.461538, -0.461538, 1.89744, -1, 1.69231}
{-0.461538, -0.461538, 2, -1, 1.28205}
{-0.461538, -0.461538, 2, -1, 1.79487}
{-0.358974, -0.461538, 2, -1, 0.358974}
{-0.358974, -0.358974, 0.769231, -1, 1.58974}
{-0.358974, -0.358974, 0.871795, -1, 0.461538}
{-0.358974, -0.358974, 0.974359, -1, 1.17949}
{-0.358974, -0.358974, 1.17949, -1, 0.974359}
{-0.358974, -0.358974, 1.28205, -1, 1.58974}
{-0.358974, -0.358974, 1.38462, -1, 1.58974}
{-0.358974, -0.358974, 1.48718, -1, 1.58974}
{-0.358974, -0.358974, 1.58974, -1, 1.58974}
{-0.358974, -0.358974, 1.69231, -1, 1.48718}
{-0.358974, -0.358974, 1.69231, -1, 1.69231}
{-0.358974, -0.358974, 1.79487, -1, 1.17949}
{-0.358974, -0.358974, 1.89744, -1, 1.17949}
{-0.25641, -0.358974, 0.769231, -1, 0.461538}
{-0.25641, -0.358974, 1.07692, -1, 0.25641}
{-0.25641, -0.358974, 1.17949, -1, 1.07692}
{-0.25641, -0.358974, 1.58974, -1, 0.564103}
{-0.25641, -0.358974, 1.58974, -1, 0.871795}
{-0.25641, -0.358974, 1.79487, -1, 1.48718}
{-0.25641, -0.358974, 1.79487, -1, 1.69231}
{-0.25641, -0.358974, 1.89744, -1, 1.07692}
{-0.25641, -0.358974, 2, -1, 0.564103}
{-0.153846, -0.25641, 0.666667, -1, 1.79487}
{-0.153846, -0.25641, 0.974359, -1, 1.48718}
{-0.153846, -0.25641, 0.974359, -1, 1.79487}
{-0.153846, -0.25641, 1.07692, -1, 1.58974}
{-0.153846, -0.25641, 1.28205, -1, 1.28205}
{-0.153846, -0.25641, 1.48718, -1, 1.28205}
{-0.153846, -0.25641, 1.69231, -1, 1.48718}
{-0.153846, -0.25641, 1.69231, -1, 2}
{-0.153846, -0.25641, 2, -1, 0.974359}
{-0.153846, -0.25641, 2, -1, 1.07692}
{-0.0512821, -0.25641, 0.461538, -1, 0.358974}
{-0.0512821, -0.25641, 0.871795, -1, 0.358974}
{-0.0512821, -0.25641, 1.17949, -1, 1.07692}
{-0.0512821, -0.25641, 1.17949, -1, 1.17949}
{-0.0512821, -0.25641, 1.28205, -1, 1.17949}
{-0.0512821, -0.25641, 1.38462, -1, 1.17949}
{-0.0512821, -0.25641, 1.48718, -1, 0.461538}
{-0.0512821, -0.25641, 1.58974, -1, 0.153846}
{-0.0512821, -0.25641, 1.58974, -1, 0.461538}
{-0.0512821, -0.25641, 1.58974, -1, 0.666667}
{-0.0512821, -0.25641, 1.58974, -1, 1.58974}
{-0.0512821, -0.25641, 1.58974, -1, 1.79487}
{-0.0512821, -0.25641, 1.69231, -1, 1.48718}
{-0.0512821, -0.25641, 1.79487, -1, 0.25641}
{-0.0512821, -0.25641, 1.79487, -1, 1.28205}
{-0.0512821, -0.25641, 1.89744, -1, 0.666667}
